STUDENT_NUMBER,Academic_Year,Faculty,Programme_Code,Programme_Name,Programme_Duration_Years,Year_Level,Gender,Race,NSFAS_Flag,Residence_Flag,First_Generation_Flag,Entry_APS_Band,Expected_Credits_ToDate,Prior_Credits_Passed,Current_Year_Expected_Credits,Current_Credits_Passed,Total_Credits_Passed,Credit_Completion_Current_Pct,Credit_Completion_ToDate_Pct,Current_Module_Count,Failed_Module_Count,Failed_Gateway_Module_Count,Non_Submitted_Assessment_Count,Failed_Assessment_Count,Student_Overall_CA_Average,Student_Final_Average,Programme_Final_Average,Difference_From_Programme_Avg,Early_At_Risk_Flag,End_At_Risk_Flag,Progression_Risk_Level,Recommended_Action,Equity_Review_Group
4260001,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,Other/Not disclosed,No,No,No,30-34,120,0,120,120,120,1.0,1.0,4,0,0,1,1,63.9,63.4,50.5,12.9,No,No,On Track,Routine monitoring and positive reinforcement,Male | NSFAS No | Residence No
4260002,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,No,No,Yes,35-39,120,0,120,90,90,0.75,0.75,4,1,1,0,3,53.3,54.4,50.5,3.9,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS No | Residence No
4260003,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,Coloured,Yes,Yes,No,35-39,120,0,120,0,0,0.0,0.0,4,4,3,2,11,37.9,34.2,50.5,-16.3,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence Yes
4260004,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,African,Yes,No,No,30-34,360,240,120,0,240,0.0,0.6667,4,4,3,3,9,33.7,32.8,50.5,-17.7,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260005,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,No,No,Yes,35-39,120,0,120,90,90,0.75,0.75,4,1,1,0,8,53.8,51.5,50.5,1.0,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS No | Residence No
4260006,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,Indian,Yes,No,No,40-44,120,0,120,30,30,0.25,0.25,4,3,2,3,4,40.4,46.0,50.5,-4.5,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260007,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,African,Yes,No,No,35-39,360,240,120,60,300,0.5,0.8333,4,2,1,0,8,45.2,46.0,50.5,-4.5,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS Yes | Residence No
4260008,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,Coloured,Yes,No,Yes,35-39,120,0,120,0,0,0.0,0.0,4,4,3,2,14,23.3,21.6,50.5,-28.8,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence No
4260009,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,African,Yes,No,Yes,40-44,240,120,120,90,210,0.75,0.875,4,1,1,1,4,59.2,57.0,50.5,6.5,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS Yes | Residence No
4260010,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,Coloured,No,No,Yes,40-44,240,120,120,120,240,1.0,1.0,4,0,0,0,0,78.9,76.3,50.5,25.8,No,No,On Track,Routine monitoring and positive reinforcement,Male | NSFAS No | Residence No
4260011,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,Coloured,Yes,No,No,30-34,240,120,120,120,240,1.0,1.0,4,0,0,0,5,52.3,54.4,50.5,3.9,Yes,No,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS Yes | Residence No
4260012,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,Yes,Yes,No,40-44,120,0,120,0,0,0.0,0.0,4,4,3,3,11,32.5,33.8,50.5,-16.7,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence Yes
4260013,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,African,Yes,No,No,30-34,240,120,120,30,150,0.25,0.625,4,3,2,2,9,38.5,39.7,50.5,-10.8,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence No
4260014,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,Coloured,No,No,No,35-39,240,120,120,0,120,0.0,0.5,4,4,3,4,11,20.2,22.6,50.5,-27.9,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS No | Residence No
4260015,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,Coloured,No,No,No,45+,120,0,120,90,90,0.75,0.75,4,1,1,0,4,56.6,54.2,50.5,3.7,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS No | Residence No
4260016,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,African,Yes,No,Yes,35-39,360,240,120,0,240,0.0,0.6667,4,4,3,3,12,27.3,33.6,50.5,-16.9,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260017,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,Coloured,Yes,Yes,Yes,30-34,360,240,120,30,270,0.25,0.75,4,3,3,4,8,35.2,34.6,50.5,-15.9,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence Yes
4260018,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,Coloured,Yes,No,No,35-39,240,120,120,120,240,1.0,1.0,4,0,0,0,0,79.9,74.0,50.5,23.5,No,No,On Track,Routine monitoring and positive reinforcement,Male | NSFAS Yes | Residence No
4260019,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,Yes,Yes,No,40-44,120,0,120,120,120,1.0,1.0,4,0,0,0,6,55.9,56.9,50.5,6.4,No,No,On Track,Routine monitoring and positive reinforcement,Male | NSFAS Yes | Residence Yes
4260020,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,African,Yes,Yes,No,35-39,360,240,120,120,360,1.0,1.0,4,0,0,1,3,51.1,58.1,50.5,7.6,Yes,No,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS Yes | Residence Yes
4260021,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,Coloured,Yes,Yes,No,30-34,120,0,120,0,0,0.0,0.0,4,4,3,2,14,25.5,25.4,50.5,-25.1,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence Yes
4260022,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,Coloured,Yes,Yes,No,40-44,360,240,120,90,330,0.75,0.9167,4,1,1,2,3,49.8,54.4,50.5,3.9,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS Yes | Residence Yes
4260023,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,No,No,Yes,30-34,120,0,120,30,30,0.25,0.25,4,3,2,1,8,47.2,45.8,50.5,-4.7,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS No | Residence No
4260024,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,African,Yes,No,Yes,35-39,120,0,120,60,60,0.5,0.5,4,2,2,1,5,46.5,52.0,50.5,1.6,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260025,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,African,Yes,No,Yes,35-39,240,120,120,120,240,1.0,1.0,4,0,0,1,3,53.8,55.7,50.5,5.2,Yes,No,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS Yes | Residence No
4260026,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,Coloured,No,No,Yes,35-39,120,0,120,60,60,0.5,0.5,4,2,2,2,0,62.1,59.0,50.5,8.5,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS No | Residence No
4260027,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,No,Yes,Yes,35-39,120,0,120,120,120,1.0,1.0,4,0,0,0,2,60.9,58.3,50.5,7.8,No,No,On Track,Routine monitoring and positive reinforcement,Male | NSFAS No | Residence Yes
4260028,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,Coloured,Yes,No,Yes,30-34,240,120,120,0,120,0.0,0.5,4,4,3,2,13,31.8,26.2,50.5,-24.3,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence No
4260029,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,African,Yes,No,Yes,40-44,240,120,120,90,210,0.75,0.875,4,1,1,2,2,54.0,58.7,50.5,8.2,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS Yes | Residence No
4260030,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,Coloured,Yes,No,No,35-39,120,0,120,30,30,0.25,0.25,4,3,3,2,11,31.5,34.7,50.5,-15.8,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260031,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,Coloured,Yes,No,No,40-44,360,240,120,90,330,0.75,0.9167,4,1,1,3,0,64.0,65.2,50.5,14.7,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS Yes | Residence No
4260032,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,Coloured,No,No,No,40-44,120,0,120,60,60,0.5,0.5,4,2,1,0,9,50.9,49.3,50.5,-1.2,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS No | Residence No
4260033,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,African,Yes,No,Yes,35-39,240,120,120,90,210,0.75,0.875,4,1,1,1,9,49.4,50.4,50.5,0.0,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS Yes | Residence No
4260034,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,White,Yes,Yes,Yes,30-34,240,120,120,90,210,0.75,0.875,4,1,1,1,2,51.5,53.7,50.5,3.2,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS Yes | Residence Yes
4260035,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,Coloured,No,No,No,35-39,240,120,120,90,210,0.75,0.875,4,1,0,1,7,58.4,56.1,50.5,5.6,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS No | Residence No
4260036,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,Coloured,No,No,No,30-34,120,0,120,90,90,0.75,0.75,4,1,1,1,3,51.7,55.9,50.5,5.4,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS No | Residence No
4260037,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,Coloured,No,No,Yes,35-39,240,60,120,30,90,0.25,0.375,4,3,2,1,10,43.6,44.9,50.5,-5.6,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS No | Residence No
4260038,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,Coloured,No,No,Yes,30-34,360,210,120,60,270,0.5,0.75,4,2,1,0,10,44.6,49.3,50.5,-1.2,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS No | Residence No
4260039,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,African,Yes,Yes,No,30-34,360,240,120,90,330,0.75,0.9167,4,1,1,1,4,48.2,52.5,50.5,2.0,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS Yes | Residence Yes
4260040,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,African,Yes,No,No,40-44,240,120,120,60,180,0.5,0.75,4,2,1,2,5,52.0,48.7,50.5,-1.8,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS Yes | Residence No
4260041,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,African,Yes,No,Yes,35-39,360,240,120,0,240,0.0,0.6667,4,4,3,3,12,24.3,26.8,50.5,-23.7,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260042,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,African,No,Yes,Yes,40-44,240,120,120,120,240,1.0,1.0,4,0,0,1,0,60.4,64.2,50.5,13.7,No,No,On Track,Routine monitoring and positive reinforcement,Female | NSFAS No | Residence Yes
4260043,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,Coloured,Yes,No,No,40-44,120,0,120,120,120,1.0,1.0,4,0,0,0,2,65.7,63.2,50.5,12.7,No,No,On Track,Routine monitoring and positive reinforcement,Female | NSFAS Yes | Residence No
4260044,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,Coloured,Yes,No,Yes,35-39,120,0,120,120,120,1.0,1.0,4,0,0,1,0,62.8,70.6,50.5,20.1,No,No,On Track,Routine monitoring and positive reinforcement,Female | NSFAS Yes | Residence No
4260045,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,Coloured,Yes,No,Yes,35-39,240,120,120,0,120,0.0,0.5,4,4,3,1,11,39.2,37.7,50.5,-12.8,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260046,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,African,Yes,Yes,Yes,45+,240,120,120,120,240,1.0,1.0,4,0,0,0,0,71.5,71.4,50.5,21.0,No,No,On Track,Routine monitoring and positive reinforcement,Female | NSFAS Yes | Residence Yes
4260047,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,Coloured,Yes,No,No,35-39,360,210,120,60,270,0.5,0.75,4,2,2,1,5,45.5,48.9,50.5,-1.6,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260048,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,Coloured,Yes,No,Yes,30-34,240,120,120,60,180,0.5,0.75,4,2,2,0,4,55.2,58.0,50.5,7.5,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260049,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,African,Yes,No,Yes,35-39,120,0,120,120,120,1.0,1.0,4,0,0,1,0,76.6,72.4,50.5,21.9,No,No,On Track,Routine monitoring and positive reinforcement,Female | NSFAS Yes | Residence No
4260050,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,African,No,No,No,30-34,360,240,120,60,300,0.5,0.8333,4,2,2,1,5,52.1,50.6,50.5,0.1,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS No | Residence No
4260051,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,No,No,No,30-34,120,0,120,30,30,0.25,0.25,4,3,3,1,8,45.1,43.2,50.5,-7.3,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS No | Residence No
4260052,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,African,No,No,Yes,35-39,120,0,120,60,60,0.5,0.5,4,2,2,2,4,39.4,45.7,50.5,-4.8,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS No | Residence No
4260053,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,African,Yes,Yes,No,35-39,120,0,120,30,30,0.25,0.25,4,3,2,2,10,34.6,36.6,50.5,-13.9,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence Yes
4260054,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,African,No,No,No,40-44,240,120,120,120,240,1.0,1.0,4,0,0,1,0,70.8,74.0,50.5,23.5,No,No,On Track,Routine monitoring and positive reinforcement,Male | NSFAS No | Residence No
